config,seed,pattern,level,repeat,f1,auc
full_model,3,rgb,0.3,3,0.25,0.5
full_model,3,rgb,0.3,4,0.4444444444444444,0.6666666666666667
full_model,3,rgb,0.4,0,0.4444444444444444,0.75
full_model,3,rgb,0.4,1,0.0,0.5555555555555556
full_model,3,rgb,0.4,2,0.25,0.6111111111111112
full_model,3,rgb,0.4,3,0.4444444444444444,0.5
full_model,3,rgb,0.4,4,0.25,0.3055555555555556
full_model,3,rgb,0.5,0,0.25,0.5555555555555556
full_model,3,rgb,0.5,1,0.6,0.5833333333333334
full_model,3,rgb,0.5,2,0.6,0.638888888888889
full_model,3,rgb,0.5,3,0.25,0.3888888888888889
full_model,3,rgb,0.5,4,0.4444444444444444,0.6111111111111112
full_model,3,ir,0.0,0,0.6,0.8333333333333334
full_model,3,ir,0.0,1,0.6,0.8333333333333334
full_model,3,ir,0.0,2,0.6,0.8333333333333334
full_model,3,ir,0.0,3,0.6,0.8333333333333334
full_model,3,ir,0.0,4,0.6,0.8333333333333334
full_model,3,ir,0.1,0,0.6,0.7500000000000001
full_model,3,ir,0.1,1,0.6,0.8333333333333334
full_model,3,ir,0.1,2,0.6,0.8333333333333334
full_model,3,ir,0.1,3,0.6,0.7500000000000001
full_model,3,ir,0.1,4,0.6,0.7500000000000001
full_model,3,ir,0.2,0,0.6,0.8333333333333334
full_model,3,ir,0.2,1,0.7272727272727273,0.8333333333333334
full_model,3,ir,0.2,2,0.6,0.8333333333333334
full_model,3,ir,0.2,3,0.6,0.8333333333333334
full_model,3,ir,0.2,4,0.6,0.8333333333333334
full_model,3,ir,0.3,0,0.6,0.7500000000000001
full_model,3,ir,0.3,1,0.6,0.7500000000000001
full_model,3,ir,0.3,2,0.6,0.7500000000000001
full_model,3,ir,0.3,3,0.6,0.8333333333333334
full_model,3,ir,0.3,4,0.4444444444444444,0.7222222222222223
full_model,3,ir,0.4,0,0.6,0.7500000000000001
full_model,3,ir,0.4,1,0.6,0.8333333333333334
full_model,3,ir,0.4,2,0.7272727272727273,0.7777777777777779
full_model,3,ir,0.4,3,0.7272727272727273,0.8333333333333334
full_model,3,ir,0.4,4,0.4444444444444444,0.8333333333333334
full_model,3,ir,0.5,0,0.6,0.8333333333333334
full_model,3,ir,0.5,1,0.7272727272727273,0.7777777777777779
full_model,3,ir,0.5,2,0.4444444444444444,0.8333333333333334
full_model,3,ir,0.5,3,0.7272727272727273,0.8333333333333334
full_model,3,ir,0.5,4,0.6,0.7500000000000001
full_model,3,gas,0.0,0,0.6,0.8333333333333334
full_model,3,gas,0.0,1,0.6,0.8333333333333334
full_model,3,gas,0.0,2,0.6,0.8333333333333334
full_model,3,gas,0.0,3,0.6,0.8333333333333334
full_model,3,gas,0.0,4,0.6,0.8333333333333334
full_model,3,gas,0.1,0,0.6,0.8333333333333334
full_model,3,gas,0.1,1,0.6,0.8333333333333334
full_model,3,gas,0.1,2,0.6,0.8333333333333334
full_model,3,gas,0.1,3,0.6,0.8333333333333334
full_model,3,gas,0.1,4,0.4444444444444444,0.8333333333333334
full_model,3,gas,0.2,0,0.7272727272727273,0.8333333333333334
full_model,3,gas,0.2,1,0.6,0.8333333333333334
full_model,3,gas,0.2,2,0.6,0.8333333333333334
full_model,3,gas,0.2,3,0.6,0.8611111111111112
full_model,3,gas,0.2,4,0.6,0.8333333333333334
full_model,3,gas,0.3,0,0.6,0.8333333333333334
full_model,3,gas,0.3,1,0.7272727272727273,0.8333333333333334
full_model,3,gas,0.3,2,0.6,0.8333333333333334
full_model,3,gas,0.3,3,0.6,0.8333333333333334
full_model,3,gas,0.3,4,0.6,0.8333333333333334
full_model,3,gas,0.4,0,0.4444444444444444,0.888888888888889
full_model,3,gas,0.4,1,0.4444444444444444,0.8611111111111112
full_model,3,gas,0.4,2,0.6,0.8611111111111112
full_model,3,gas,0.4,3,0.6,0.8611111111111112
full_model,3,gas,0.4,4,0.4444444444444444,0.8333333333333334
full_model,3,gas,0.5,0,0.4444444444444444,0.8611111111111112
full_model,3,gas,0.5,1,0.4444444444444444,0.8333333333333334
full_model,3,gas,0.5,2,0.4444444444444444,0.8333333333333334
full_model,3,gas,0.5,3,0.7272727272727273,0.888888888888889
full_model,3,gas,0.5,4,0.6,0.8611111111111112
